Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Channel_9,Channel_10,Channel_11,Channel_12,Channel_13,Channel_14,Channel_15,Channel_16
63360.3558969922,45688.50793701505,45525.474312958046,28799.149846929296,5030.237737922399,1634.0913336385888,1858.5028479698717,-5908.705998504877,-11401.222515251937,-16025.17259421022,-4610.583735774009,-162250.3518760624,-6359.250111490502,47102.14401509095,187500.0,41642.79748711556
68573.49795979238,52402.54728824464,45859.007043720136,33026.71408971716,7130.474702176417,1357.1755715817894,3169.142087595712,-5220.384028003697,-11692.64455946023,-16177.522084417593,-3873.2443896823397,-168597.75556299157,-6768.510552467174,48167.04817617514,187500.0,41846.28776863668
68022.46040373569,51426.17838694792,45371.381386683155,31325.791040157204,7273.279997501373,1349.486571489164,2025.291565095373,-6285.57876176581,-12003.356159133455,-16525.8516700091,-3216.5724893298734,-157373.33534638112,-7037.513796986795,47744.175522825186,187500.0,41406.85247264534
63581.571111866375,46019.04553402013,45744.43200164223,29661.86012767078,4855.178875348434,1603.0000571012565,2463.721032586221,-5417.101730954853,-11330.523947539801,-15833.75225469497,-4925.296297704733,-168807.25846377117,-6309.8974597331835,47576.69390162157,187500.0,41855.47433560781
71644.69470318493,56255.47394221711,45640.78696260297,34322.75764021369,8683.183334253232,1160.3684616528108,2942.0036604408815,-5783.759746999711,-12117.685332022349,-16482.4892857658,-2872.6238456516085,-162104.32792953588,-7191.51731628386,48544.6585470031,187500.0,41620.19987347125
63386.57449323827,45679.50018399956,45526.927176347635,28768.997343659088,4956.812257386716,1599.5802401995945,1775.5108208073166,-5956.874007806064,-11423.998942851895,-16054.676896891226,-4689.843021612528,-162339.35652248343,-6436.944775217149,47061.59795064902,187500.0,41577.262172372604
68382.65876563296,52226.03556228108,45865.1761251898,32908.920396437694,6961.674328049938,1378.1415078808675,3115.9002323031705,-5229.0788565968105,-11684.240303545035,-16177.097401272942,-3955.2752918333167,-168790.20408275176,-6733.105389249968,48169.976254698784,187500.0,41837.92821621039
68036.87727890936,51569.14014448407,45392.10145379323,31350.847345691604,7191.718481983958,1331.9851555806586,1993.5073844799263,-6308.288134132402,-11975.595292519964,-16526.097539198105,-3243.1487134872336,-157478.7238214879,-7016.704322898904,47783.22402038861,187500.0,41422.78926644198
63472.852226835756,45998.0572459766,45749.48349588913,29580.365667386734,4727.6174697419965,1572.892257319958,2376.4151187437915,-5473.718699660147,-11349.00884020434,-15925.707331384103,-4955.448800974942,-168735.26349488064,-6328.114131464259,47536.14783717965,187500.0,41825.63475675997
71521.00014936927,56236.60906989683,45637.92593931269,34297.85779689047,8565.903731096236,1171.1867059691795,2915.5838984947086,-5785.547886556135,-12085.722337451261,-16550.639754610034,-2899.0659593422365,-162270.62490828335,-7173.613568975159,48465.4886681424,187500.0,41613.62846060139
63363.14986504911,45745.08020223143,45523.48500770152,28746.712654437146,4867.695852243406,1574.50158292074,1743.2796053027637,-5981.237409262349,-11417.02519858184,-16113.394929575317,-4651.286262427123,-162244.9427539042,-6405.562926001898,47084.4637852268,187500.0,41557.614988996385
68191.97603368474,52059.939749233694,45849.149924415346,32800.51443582946,6781.3628055289755,1352.9957953686471,3099.404644895154,-5231.336382786797,-11685.000262856516,-16174.929282060777,-3989.786385272311,-168902.5215986397,-6668.9558826632365,48168.50103956473,187500.0,41819.51037877922
68055.31746808499,51648.80176172278,45409.133483068166,31368.5052238113,7095.561277337227,1329.3923532238427,2007.3431142977613,-6295.480584559511,-11952.751809686639,-16494.201599860382,-3249.6977746126386,-157606.82166896126,-6962.635453061516,47784.721587267115,187500.0,41408.88648139078
63379.77956292386,45917.166282792845,45724.60600431037,29490.377544209667,4553.09504903496,1541.7786290381705,2344.563882894979,-5499.892592417311,-11317.872860178097,-15931.63054366476,-4960.902626622036,-168752.8319660225,-6278.426203540112,47527.63182254217,187500.0,41793.60470695552
71444.91481124339,56193.58196182036,45603.30308715142,34259.59161038299,8398.735034314996,1168.459793145632,2923.541119520798,-5764.067860134585,-12095.646511989416,-16531.66312356748,-2949.0668116887587,-162509.63211174397,-7115.923716536012,48513.41080825458,187500.0,41582.04544568604
63406.53460103687,45839.80689523303,45504.39661793669,28753.015846373542,4745.007126928226,1611.5607752276392,1770.4816783048725,-5952.94010078193,-11404.552925175778,-16043.65748687476,-4646.2571199246795,-162212.9350558442,-6378.427908233155,47085.916648616396,187500.0,41568.589695523944
68028.49537473862,51924.890509234734,45792.644714432325,32693.494283377444,6556.101924908391,1345.3738505093875,3068.6709962691066,-5247.362583561252,-11656.233567742536,-16162.077028998976,-4025.4597694229806,-169017.20839943987,-6631.695524656239,48156.05111790313,187500.0,41817.09639037805
68111.53210539008,51800.368940874214,45374.68944486254,31404.960919017904,6978.728709069337,1316.7859693510497,2005.0632363633201,-6291.501974046466,-11966.967519160215,-16549.27629819826,-3293.5966007228617,-157712.61247546822,-6978.013453246767,47825.334706942405,187500.0,41385.014818312506
63315.428890637035,45936.589948724504,45730.32805089093,29439.326159873744,4381.992445229584,1583.3528737250417,2338.1265804918507,-5441.8004085779685,-11263.781638596254,-15876.824066260348,-4946.038716559257,-168678.1100843084,-6242.216377522514,47497.27815357187,187500.0,41842.39856510145
71339.16870822533,56204.22139218109,45559.001929641,34174.81144366401,8172.624787405109,1140.430705598677,2903.603363466664,-5755.99888038622,-12090.617369486972,-16520.353140873092,-2966.4564688749874,-162675.79498002472,-7093.147288936054,48454.804534292765,187500.0,41613.56140536802
