Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Channel_9,Channel_10,Channel_11,Channel_12,Channel_13,Channel_14,Channel_15,Channel_16
38319.070734866946,32320.711889351835,41371.62612338378,-5233.213929321043,-47012.13354016942,-5213.790263389381,3153.495866476997,-15690.544627969817,-17305.94990324377,-21888.839827637654,-6041.8776919695965,-119071.83308265604,-18926.60783846472,18516.587438176568,187500.0,41861.39754788847
40978.995380281856,36446.79921231261,40823.136666195,-2744.794219111707,-45965.42369907185,-6345.146160739203,3971.9273414525205,-15773.067268498811,-17614.82865987166,-22021.229210046436,-6220.401074934134,-124892.49555975146,-19307.325101771963,20296.25568345257,187500.0,42029.23679700337
41521.87454961235,37119.38555471725,40834.67016633393,-4383.020625474528,-45695.19110860719,-5699.650132614391,3221.623983576773,-16221.756186694645,-18429.79561445661,-22875.33406917263,-4531.771484824596,-116031.86172626755,-20107.4952015275,21518.337311546482,187500.0,41106.065047510274
37117.08332503836,31386.990116475838,41301.44164579411,-4276.447507911624,-47411.02277171884,-5636.282937083595,3589.3325316110295,-15517.02803576327,-16969.936128847137,-21529.177907607307,-6944.932871452913,-124941.40117661968,-18629.35198895359,18183.7923149815,187500.0,42359.37206260825
43174.22725847093,39995.76449343735,40434.12690569484,-2599.7761010856752,-45006.28799275017,-6499.95434283666,3779.4788216923266,-16236.396579312872,-18553.467816527824,-22869.589670847618,-4837.453941995375,-120616.40567975113,-20267.734857527597,22242.980866787537,187500.0,41300.83814869382
37052.6432457737,31441.46131771342,41365.68055935867,-5250.9165109296455,-47341.59825344065,-5222.261574537942,3166.7728026834493,-15687.929473868548,-17290.88482748089,-21921.80865070923,-6013.669790466999,-119921.33348242444,-18946.79146370786,18531.987790106272,187500.0,41874.182745716906
39715.33950750107,35511.04343069118,40781.629476741495,-2783.1051091081035,-46261.316092171204,-6369.867190106773,3999.0400074768077,-15755.945832246047,-17652.0666661342,-22093.447696381536,-6251.358241004735,-125916.25015929344,-19295.56808418847,20218.136336581272,187500.0,42010.26016596081
40482.96546732968,36415.372659608445,40818.84513125958,-4387.20040168767,-45902.25766924115,-5687.669597586346,3259.3760799617867,-16204.21006729723,-18487.70898434031,-22902.87141834157,-4511.5431560925435,-116885.27368131564,-20136.686579786132,21583.64910884489,187500.0,41073.20798316097
36083.583364913866,30563.462443764503,41278.01701760495,-4319.295802032448,-47621.59855623228,-5584.0916137804525,3614.7911685456243,-15484.930930725448,-16918.705930555574,-21477.366563959906,-6951.794857000692,-125809.02884114133,-18583.82148549813,18119.352235716848,187500.0,42377.499327361504
42322.156408090166,39349.73202344561,40403.549719279974,-2567.097850692016,-45140.64432867102,-6534.398381042288,3806.7032464388903,-16238.318829336027,-18623.674645861942,-22890.62266238006,-4840.203206563378,-121543.4889845239,-20234.76603445602,22290.679489455164,187500.0,41289.5952212328
