Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Channel_9,Channel_10,Channel_11,Channel_12,Channel_13,Channel_14,Channel_15,Channel_16
-57940.19197704697,-71433.49306982674,40696.24581292222,-3994.346141141193,-133330.88258873016,-10089.3315779366,-1231.782285187517,-21022.35210208322,-20132.88678322873,-19165.682097158682,4856.3411660601105,-37794.676458200986,-23341.52440327697,18435.964695926275,187500.0,28425.47338312547
-52989.0570627519,-66488.66134746806,38565.990455864725,-5939.640812831022,-130658.4856699092,-10548.928147426623,-2035.1486844001633,-23140.49281364594,-25284.919176688098,-24326.074043044337,8742.750733226625,-28498.63064272769,-28531.97944545501,25918.725242462784,187500.0,23817.281284008182
-60685.790858959066,-74898.81812319972,41959.74522349182,-5214.952554101057,-134459.01983487845,-7287.20513429703,-2327.5318536200352,-19453.639620976403,-19870.36554460115,-19164.922137847203,5401.030826691488,-35231.89249418885,-22987.338660638175,17273.159894127835,187500.0,27792.02494526207
-52967.55468458589,-65947.74913164963,38473.56599254203,-4312.411464740213,-130907.68526884142,-12357.58660526116,-998.7877009853961,-23357.170624395683,-23323.91122864619,-22381.069944032424,6697.3649498659315,-34234.22238042622,-26457.692856513604,23166.711409892014,187500.0,26229.638007836107
-57855.12123765007,-72138.53414518049,40806.439913086884,-6442.488007842066,-132889.39093224896,-7427.663496454179,-2851.4790953968877,-20577.21711125578,-23013.713719095438,-22350.671571573206,7831.268946083659,-29382.820949890727,-26140.342788737154,21854.552251643214,187500.0,24825.054386264612
-58039.16550149507,-71596.7502113283,40731.650976139426,-4012.853385550188,-133334.68238528757,-10022.544565504142,-1264.5499425589971,-20988.958595866992,-20205.462897475114,-19360.634012297873,4842.885415898016,-37854.26620891884,-23351.158005137208,18332.923153987307,187500.0,28477.10591281723
-52943.10187615179,-66452.74209412839,38493.704914296264,-6001.935124627963,-130594.1797011113,-10596.0009212495,-2061.4790393685153,-23198.607349229736,-25438.877992496255,-24538.594429325396,8738.213329102198,-28581.55561465688,-28637.43497579515,25894.563006706598,187500.0,23784.670088847888
-60691.35644332844,-74904.7860389693,41929.7938859217,-5301.967895265567,-134398.35720042672,-7276.096317302742,-2395.3470462974365,-19504.132211700944,-19981.7666389664,-19252.518624367553,5439.542882387982,-35176.43781619523,-23085.41811530806,17292.47180133722,187500.0,27748.43904357422
-53043.30474654493,-66002.28738812059,38475.55529779855,-4322.894432889751,-130880.37143711704,-12318.113424553088,-1043.0888584958147,-23352.297944104426,-23353.43788307165,-22309.387899564255,6672.487458287175,-34341.153125900404,-26509.750069350015,23018.78756508679,187500.0,26244.65838011007
-57806.707359159875,-72055.4080075512,40703.44307463683,-6493.829964855906,-132803.26966086266,-7446.7742379634665,-2881.4974882003653,-20641.99246668726,-23098.13625790313,-22376.845464330374,7854.537112061634,-29320.817210771707,-26182.297013079766,21891.678499183476,187500.0,24791.415010859375
