Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Channel_9,Channel_10,Channel_11,Channel_12,Channel_13,Channel_14,Channel_15,Channel_16
45078.886458741006,38999.27902213085,41224.66340359014,-3341.6081478128613,-43037.34517542663,-6513.253630787567,3564.0750603765323,-16029.17355646772,-17907.658863980636,-22229.77098581445,-6091.409157682558,-127571.77681586466,-19687.55062670119,19841.26357332034,187500.0,41752.43279366884
48321.94576525042,43004.71162852188,41039.90388392257,-3910.7953203672555,-43018.27913740625,-6300.465023573044,3443.3979920623296,-16087.958644385177,-18639.365570469567,-22882.263109953776,-4110.977543708986,-119924.97681677066,-20458.28347900909,21499.315977015016,187500.0,40993.34520022216
42103.98103046192,35102.29707983698,41466.06224370745,-4419.498672425589,-43002.87878547654,-6073.706576073954,4231.654612023189,-15651.406723428576,-17572.38269715103,-22021.855058891186,-6415.755321473518,-126189.92491840423,-19291.09773529741,18544.124787345503,187500.0,41944.65779598449
49457.41438358002,44527.491274773034,40815.380610869004,-2859.9057030565386,-42862.554533786126,-6817.058541424101,2958.9462827380044,-16412.61773259851,-18402.772355410143,-22641.758339614673,-4891.187535665934,-124347.82825086455,-20203.741813152054,21380.024716857042,187500.0,41213.956917996045
43659.304816640004,36894.63876421914,41420.1294088518,-4936.226300743378,-43006.477416333844,-5905.129719392028,4176.870486363231,-15627.0880254612,-17928.602448535257,-22399.308967507957,-5264.305205858374,-121173.58996553303,-19660.929699054923,19447.71640869575,187500.0,41432.556978768946
45036.12757159801,38770.84419379762,41131.099001300216,-3451.511675299606,-42905.08990348457,-6556.325442352944,3508.2851062160858,-16103.47075503716,-17829.67362757607,-22171.365877552733,-6132.782236669331,-127518.33379487203,-19587.325404563595,19819.001235842854,187500.0,41717.00527870718
48329.41124789849,42851.26690283619,40997.25675550184,-3997.4753853649363,-43013.473512348355,-6315.48539584701,3322.586813281395,-16142.228679922662,-18549.399799036957,-22843.929868212923,-4216.857757193775,-120008.7288032447,-20340.35567526289,21575.46837037425,187500.0,40920.16558887548
41895.10397852707,34669.27673450431,41468.9903222311,-4519.880356774373,-43125.36634509163,-6042.369430347613,4161.15721001115,-15664.080162534734,-17477.767762871714,-21929.028264168297,-6517.858090145361,-126457.74352046772,-19188.771449181015,18523.225906279793,187500.0,41945.462458784874
49157.34221426752,43985.17089905392,40817.19110216988,-2910.0406658697925,-43074.73964390036,-6803.178108117356,2870.4557264394434,-16439.663343389435,-18350.31281117354,-22565.963574166726,-4991.770385714815,-124966.72570308755,-20114.178373119637,21329.308608687952,187500.0,41227.97146176952
43323.872187599205,36313.62751884789,41435.99914741506,-4994.899629938559,-43350.448411756566,-5864.918931116931,4069.135078088651,-15647.226947215433,-17904.149640101154,-22294.054602867916,-5321.659782130692,-121804.37854580625,-19613.298131620664,19426.996341585676,187500.0,41428.10898162234
44506.65944894069,37953.932637445054,41176.0707111443,-3482.0218064811,-43315.13265551718,-6494.0311305560035,3448.6283002648715,-16070.65839417677,-17817.67074080357,-22048.096006881715,-6222.546842401844,-128458.6716841068,-19536.63164813896,19742.312400616695,187500.0,41749.236494211735
47987.74248215467,42269.27218070891,41009.393752741074,-3963.1207541371296,-43407.60182232879,-6308.712817277053,3246.0544402664236,-16164.602776122425,-18590.16938092344,-22731.813518025105,-4211.3592280577695,-120934.82863126144,-20341.60737295239,21630.028978589653,187500.0,40954.18494393647
41415.90492914974,33926.77413544347,41505.2448517376,-4521.13205446387,-43566.05333877246,-5987.786470387754,4090.5704010212903,-15657.419342687053,-17523.387673305,-21804.55139929669,-6519.3333052794105,-127315.33525172893,-19183.38467876729,18468.28531840865,187500.0,41968.64121778503
48744.013755799984,43321.16762652012,40827.629366830515,-2856.150609988047,-43427.67368884965,-6782.279227051643,2848.081630239681,-16435.751788109756,-18420.18436434083,-22443.54306978501,-4984.103737366645,-125921.99455761845,-20120.45921331158,21309.46025961164,187500.0,41253.60891265976
43059.45105069292,35845.85021088722,41425.65028973226,-4968.6363302035725,-43633.1979791162,-5845.718782629822,4026.800874090299,-15677.871188863659,-18037.67896147716,-22239.605753374788,-5240.724115458026,-122431.88141964453,-19643.852966291066,19485.75907775868,187500.0,41410.02642035799
44174.400767612555,37390.24399402666,41156.9152661461,-3475.808021522525,-43491.84554718084,-6496.623932912819,3455.289120112553,-16098.866295679367,-17940.314762629838,-21993.669509133044,-6199.077510723771,-129123.43491595208,-19517.230333951753,19721.122946873063,187500.0,41734.618453337964
47881.683454714235,41976.06199694419,40948.79817352274,-3947.9439196519756,-43477.71924468509,-6324.001410484482,3205.553079313407,-16226.271239074618,-18758.388609694077,-22774.013611556722,-4182.614884688244,-121431.14911689152,-20360.248727828115,21664.875348195477,187500.0,40885.14040531402
41207.229042914994,33490.088104020135,41477.52868861302,-4566.595502685965,-43652.800459003505,-5985.37248198658,4042.581205675746,-15698.524200740363,-17655.620593502594,-21827.596047830113,-6538.2428810886,-127688.49762541028,-19165.570338436406,18421.994855641708,187500.0,41929.16803707696
48488.89094458711,42818.05221057561,40835.05014598968,-2871.841534595673,-43578.65972264525,-6732.5242438941295,2758.808762885185,-16444.647782402968,-18538.425092509402,-22469.11346544188,-5035.602156591673,-126456.22360184474,-20105.438841037612,21277.050230151443,187500.0,41237.62741537421
42783.965800281265,35342.958312387265,41463.7376622841,-4986.696539723461,-43967.602427912054,-5764.961929912798,3894.3444364481497,-15670.76333412687,-18120.983913062086,-22222.260799677468,-5248.636632995204,-122918.8588760923,-19571.925052633887,19482.316909112564,187500.0,41415.212025071625
43647.346633356414,36614.07966781613,41221.80238029986,-3482.9829314926783,-44012.0376958892,-6387.010978103993,3351.062935717456,-16042.718713607635,-17976.479885158526,-21967.987354753895,-6248.43016248109,-129914.19493129193,-19461.127455368933,19652.391332672996,187500.0,41798.522090735685
47438.98480403242,41367.69221635965,41033.086601863695,-3902.234602240873,-44137.25216832783,-6253.682822428086,3071.5543713038414,-16205.01473009762,-18787.87056063063,-22748.040884499656,-4175.574085184823,-122341.28979936718,-20323.92714308824,21679.314575113603,187500.0,40939.07516468468
40638.39949827189,32778.92265068563,41508.3964477058,-4549.429362944289,-44399.05815113284,-5927.637926058523,3940.813713170733,-15681.156895298589,-17723.83811758019,-21810.139335410517,-6501.697778904174,-128582.05331350009,-19118.318750657887,18434.623591258955,187500.0,41964.841421227626
47929.33737389295,42168.845792871216,40802.70717176285,-2822.600641560631,-44305.58315582075,-6700.561249323041,2720.117893233048,-16419.77029082421,-18573.942014448883,-22451.030904177536,-5042.8888252841025,-127453.62549467392,-20080.874273881233,21299.960768218134,187500.0,41260.87322960773
42405.46135967509,34934.837810377816,41447.35383359836,-4973.374900028098,-44617.36763922783,-5784.452651077825,3863.141401188541,-15695.394956516619,-18190.341376106906,-22311.645425754243,-5204.4248824626075,-123622.9835299234,-19623.46817534783,19583.570311495103,187500.0,41402.203309798635
43199.149453538594,36129.29268232497,41156.825859168275,-3493.3317891754855,-44563.365824623805,-6419.532766286465,3360.4953718775955,-16054.922766080233,-18012.51089722048,-22072.168835660083,-6243.8033513788405,-130590.20109059825,-19468.816455461558,19676.307699240173,187500.0,41772.795232867626
47251.27485409676,41203.40689461314,40973.40744416803,-3841.9295957004547,-44547.20551338262,-6290.160869379148,3089.2569529124444,-16220.079805860498,-18909.486402211955,-22785.256539017744,-4143.119352235717,-122826.993206381,-20459.71399065423,21721.715834345323,187500.0,40909.72732421486
40386.85296617186,32523.084583650183,41377.19170775315,-4691.407643724399,-44749.57820768097,-5979.493973194835,3970.496829807381,-15710.415328790586,-17755.689353429003,-22085.5128270999,-6551.139837639313,-128850.67657836397,-19147.97951555008,18430.84614644601,187500.0,41859.65411182095
47752.758592696024,42002.34764842363,40670.250734120695,-2954.1406576801132,-44506.43593149614,-6784.670863708361,2754.874855861051,-16487.093745123595,-18648.619192674065,-22708.277131113664,-5083.725462403949,-127707.51895994175,-20207.80983064292,21384.8973971483,187500.0,41132.03777456734
42369.18447842413,34946.32660702784,41176.7189117335,-5179.972074028501,-44747.588902424446,-5917.579641053634,3837.034563664742,-15818.284847531897,-18246.04192328953,-22657.069284566558,-5314.551927393905,-123543.32191268468,-19682.007394076278,19745.061665184698,187500.0,41153.38369052216
43053.03610003425,36006.29103258742,41011.8300928867,-3643.0661252815876,-44608.11401702333,-6480.843601327372,3401.376712486352,-16087.04222286251,-18092.95482551513,-22328.43158584018,-6462.85044704085,-130550.16911627879,-19477.779504988135,19666.897614824487,187500.0,41641.657548148345
47280.08625269965,41330.54361707492,40774.633380726984,-3998.3023999097827,-44513.029696110454,-6383.814678646884,3092.989694236481,-16322.786071632634,-19019.76990935444,-23098.069202669765,-4287.913952817196,-122700.72820195297,-20534.547631090598,21741.452424699357,187500.0,40670.31778935406
40371.16204156423,32590.944479816495,41331.41533510868,-4707.970286365782,-44641.954558128666,-6085.888276802097,4035.1827782610394,-15731.850651723225,-17701.151096958052,-22035.959009642484,-6537.527625266031,-128502.8834346394,-19370.98286998068,18414.685835204822,187500.0,41827.91463469442
47653.248626381,42005.07456124718,40430.99766147109,-2965.316529907767,-44426.81901774633,-6925.240984587787,2762.027414086749,-16532.758359045787,-18731.208888436424,-22952.20171835443,-5267.032118681922,-127529.8002397776,-20090.17259957464,21037.953619713026,187500.0,41074.16910817255
42418.91710983719,35129.543856328,41236.48747640699,-5090.833317140737,-44624.58725268689,-5975.269493492782,3920.8536053721436,-15837.172071596631,-18184.8428469709,-22740.910678018416,-5313.613154126782,-123157.37434117489,-19853.579384515215,19532.071892270076,187500.0,41171.376844808685
43038.39570741603,36098.24610927655,41098.55486137329,-3596.3286276255403,-44428.40599160266,-6566.629596546841,3492.3036089305415,-16102.979016659143,-18008.018196584966,-22331.85140274184,-6411.575545260375,-130220.97262394102,-19636.231021431806,19572.282680545173,187500.0,41635.01908004512
47416.789521788305,41633.92384456681,40891.53300422824,-3855.4747528403705,-44334.10398174572,-6442.152731675235,3200.9262682111585,-16296.321606197549,-18806.44486027299,-23042.145138042586,-4195.645951705689,-122340.39572958896,-20568.097599518016,21825.338521640126,187500.0,40775.818023183114
40420.62645204383,32772.172423860124,41454.841667990884,-4612.126006141425,-44504.37957100625,-6016.351999801636,4167.259236247449,-15645.751732081382,-17590.219389226364,-21916.131307617583,-6489.940761320682,-128086.85041509276,-19373.08393395948,18313.655950266835,187500.0,41964.86377297208
47727.188197039155,42214.84568296024,40878.25606802179,-2695.776843521219,-44245.41225974706,-6802.574611017062,2988.8976203081156,-16342.053275353108,-18486.859618051007,-22626.4920981517,-5118.750645965415,-127240.43455605919,-20253.80972073194,21182.927034250144,187500.0,41294.78082594643
