Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Channel_9,Channel_10,Channel_11,Channel_12,Channel_13,Channel_14,Channel_15,Channel_16
-33354.54712564315,-51190.38983468889,38539.43658345182,-5103.81968066927,-124158.33016137245,-12304.657674390994,-1155.652243572741,-23249.27875390992,-24232.911972154616,-23142.795043324833,6341.055791503882,-28552.096015464787,-27670.654972869754,24632.896439182336,187500.0,26816.617168976925
-40201.10996974826,-59640.62328822891,41509.62579365084,-6535.985354898615,-127362.00569415161,-7721.343066852459,-2662.5397995161775,-19961.09127534524,-21476.047811037042,-20693.312071956643,5548.731154052157,-28137.38174884102,-24780.596766543003,19268.23190071963,187500.0,27768.01917171707
-36842.20157172699,-55215.40256922276,40013.98116516843,-4293.635999397755,-126081.49660605153,-11538.529281440888,-946.2611015154245,-21718.76540407722,-21302.017128708023,-20215.789403413466,4141.062991745829,-33802.40902929414,-24595.881950364346,20159.26184168599,187500.0,29323.477068361888
-35355.274123582145,-54319.25407877613,39606.374753281445,-6616.697504126729,-125014.49138098853,-9668.917616476729,-2315.685429058722,-22021.45272749099,-24654.510576070617,-23666.049381023575,7370.644196348691,-24526.27861813052,-27944.754415125182,24452.584916661373,187500.0,25671.447893553723
-40773.26992431521,-60156.9485851465,41816.11291362201,-5191.8632020787245,-127965.01105606688,-8662.597377609894,-1868.3376155302067,-19764.06064797171,-19816.944875352965,-18975.625214055206,3706.500376045749,-33416.37205080653,-23020.64275987658,17205.679977617263,187500.0,29885.556386179494
-32911.80377147243,-51127.223804858186,38606.84944472903,-5019.151272672567,-124122.63442547733,-12276.472124632852,-1160.748441308551,-23184.011660100423,-24281.258795411446,-23248.898774254176,6328.874090775739,-28596.643042164214,-27560.751445383008,24605.090869079933,187500.0,26909.645129399913
-39727.454152995844,-59503.16005982877,41547.53435224704,-6515.645267444285,-127289.4966351386,-7639.692144357222,-2680.063567169138,-19890.392707633106,-21673.301955855128,-21049.50947159642,5589.925419083288,-27993.0565348931,-24815.040804748634,19386.539684121573,187500.0,27747.097938906903
-36535.64739652245,-55222.39866523727,40121.046021109345,-4261.091859470828,-126084.33527759735,-11404.172945520038,-943.8694648587067,-21594.445001416803,-21287.60025353435,-20485.262034566647,4120.342924635759,-33817.63056726821,-24494.248568326067,20121.08506215633,187500.0,29404.05510712327
-34894.738780825,-54119.965925212615,39591.46613972976,-6610.483719168154,-124931.87933348172,-9678.52886659251,-2316.333629647926,-22041.25637307839,-24741.816489913046,-24023.118498697102,7367.336138169306,-24511.2358941121,-27957.584316442528,24539.220278170145,187500.0,25655.108768356895
-40402.20861461265,-60070.424982360004,41776.81854686958,-5246.110885871754,-127921.78278229032,-8619.056179410956,-1921.2441946559186,-19780.10920049062,-19934.336237232237,-19257.726580825638,3711.753035992746,-33341.538410370165,-23051.644629436094,17198.79564032503,187500.0,29853.034597997023
-32513.76390621232,-50986.31840781193,38572.36070303449,-5046.979194519424,-124064.788110827,-12278.841409545113,-1199.394607471777,-23219.059195406342,-24411.703576052616,-23467.789407705,6262.511761487933,-28668.39214186575,-27621.1682106457,24491.923986902715,187500.0,26904.683042130833
-39248.500972807524,-59275.97692918503,41477.148708957284,-6600.8054138190055,-127186.05276179944,-7677.555999464513,-2729.9750125378387,-19963.81818816879,-21760.719628419833,-21215.649988132714,5594.619285418902,-27869.049056655058,-24896.892892943968,19432.181946299308,187500.0,27793.07547725147
-36178.667685826746,-55129.70598098111,40123.772933932894,-4316.166557808704,-126040.65996893168,-11363.5821775892,-1000.0393986748933,-21594.199132227797,-21309.54966658946,-20428.57801062799,4055.031127337352,-33825.05134642737,-24512.0852604014,20010.600389313746,187500.0,29606.58426363281
-34398.418295194904,-53845.68766900154,39571.37192146444,-6607.667399366785,-124816.87960825916,-9711.542393153,-2325.6990105747,-22089.89376901314,-24850.87065111049,-24036.41778664801,7353.12042869573,-24484.57026297692,-28031.21096267831,24558.465130146164,187500.0,25932.89624844745
-40004.995763897394,-59914.00747466177,41746.509581388185,-5311.266220958975,-127849.49724072186,-8624.577060291418,-1957.7892968403455,-19798.571741410702,-19966.29923180333,-19323.664226968795,3703.169966121908,-33256.4006157399,-23048.42597823453,17148.101883900392,187500.0,30180.64411647846
-32105.129314080397,-50802.18473698911,38502.19857718928,-5099.684607945038,-123987.9651651341,-12373.344585102152,-1221.7240001826287,-23273.03865826591,-24353.969020124558,-23406.031537774987,6182.22429540447,-28735.961465354143,-27605.32082382689,24429.808489061415,187500.0,27211.99717664685
-38763.132841960534,-59018.01544642633,41466.6880925522,-6651.789742921561,-127070.56129819887,-7695.236229328661,-2729.1479979929923,-19984.493551789947,-21754.796416139176,-21245.556622213917,5601.481270966682,-27736.324398079443,-24995.777010414247,19485.71437426977,187500.0,28048.35475067553
-35837.021271827376,-55026.46327334205,40005.2416330864,-4448.332422772935,-125992.5366631194,-11411.772538634843,-1022.7040675525747,-21649.452644521316,-21322.916009773733,-20513.11230815796,3973.5366670533026,-33827.666500528634,-24534.66052230126,19986.460505302013,187500.0,29802.586710761396
-33900.71200140858,-53558.75832542877,39445.866876347885,-6698.348426621965,-124690.50284510886,-9820.909478772817,-2311.2821354010266,-22154.847938400264,-24790.67740329235,-24080.651888925066,7271.313043989307,-24449.79094860446,-28015.02829969267,24603.97328185717,187500.0,26211.667205294038
-39610.97921263924,-59754.41601925088,41758.44541292732,-5375.348672312341,-127770.32736186116,-8600.638341979784,-1938.2762239308624,-19767.838092784656,-19826.958456868942,-19240.023999217035,3640.316860713585,-33160.35516981544,-23112.82135401027,17155.88029097084,187500.0,30558.05332160632
-31724.412050773153,-50626.947060459504,38550.880676612935,-5056.456334168474,-123919.12179221175,-12344.756703943815,-1109.786463950451,-23209.64911099066,-24245.071321138304,-23294.295167242904,6137.409047771579,-28790.007983447074,-27524.11693622076,24380.232319859544,187500.0,27816.902436840828
-38306.17377831624,-58748.028725150674,41433.741621225076,-6660.596330236952,-126951.85118339673,-7720.203127885238,-2648.3687935315124,-20004.811287499822,-21701.576912591092,-21269.271823081,5608.745587914656,-27620.520010056498,-25032.702092254414,19558.648116427437,187500.0,28476.234194783476
-35527.02492797672,-54897.40430085711,40098.09077955375,-4431.166283031259,-125945.93327593009,-11385.598645877677,-922.1212175036928,-21550.16619565084,-21037.707750524016,-20331.616143180865,3958.806867457255,-33826.414802839136,-24458.28461149748,19886.45880060897,187500.0,30353.601915073625
-33440.95896970737,-53220.4646730977,39433.059326774994,-6671.548685020052,-124572.93266927394,-9915.189136885303,-2181.6867210491564,-22192.98001444102,-24861.264212282207,-23969.36255328209,7289.440308742561,-24429.94259952815,-28166.997810244302,24736.764995666148,187500.0,26556.68873270616
-39231.871274932775,-59503.22711506214,41853.753251284754,-5339.7870468839465,-127678.8416718056,-8601.018321635524,-1836.7993041037685,-19743.206470394907,-19754.561156578202,-19114.78717503395,3687.9707798922996,-33048.23881962762,-23166.57729942528,17162.809331751985,187500.0,30861.075921186915
