Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Channel_9,Channel_10,Channel_11,Channel_12,Channel_13,Channel_14,Channel_15,Channel_16
74941.77817604282,51115.53384250806,16239.995210170177,15014.627875641332,-17753.632992939114,-7014.9832385758455,17354.073209056045,31924.28134969251,-187500.02235174447,-5598.463785465216,11222.565021820668,-12398.69146331447,-8691.833459357436,3467.2025999072316,-187500.02235174447,14066.869207247402
74577.84707282152,51615.98940086239,17158.78601775003,14806.421376040147,-17535.61407752205,-7895.507859648212,18087.299834167938,33204.656327325865,-187500.02235174447,-4763.134391681479,11977.13756288738,-11792.24393275308,-8078.881571159551,4297.726368633076,-187500.02235174447,11519.977333542984
80020.3403854776,56575.57327456156,17113.702549183672,14435.13654889304,-18037.164871354686,-7856.861693484985,19038.23245027452,32428.603759837602,-187500.02235174447,-5838.923852315409,11207.16466989096,-11867.412849356277,-8521.423759630175,3410.2503550351094,-187500.02235174447,14370.674117883937
72069.73547574705,48621.07916129579,16391.785906766167,15218.542840307098,-17471.822198846603,-7097.416472127017,16916.135479943216,32433.208219195396,-187500.02235174447,-4830.368439003043,11800.111746801347,-12237.490682302796,-8341.201644087034,4131.027058485396,-187500.02235174447,12239.010600925756
79651.26838103156,56786.90901838649,17691.763364286824,14314.347721856562,-17914.856125695245,-8494.40050058371,19411.37247221142,33229.399708437886,-187500.02235174447,-5267.635615782216,11705.429757288666,-11575.275549325414,-8139.343039911157,3941.193692826473,-187500.02235174447,12716.019179346464
75019.98692989194,51204.71730288474,16284.7434025697,15026.787224625019,-17766.194673322996,-7026.919070114979,17378.68247970134,31881.388352082773,-187500.02235174447,-5570.926436296277,11259.110124005096,-12361.699326240938,-8671.605130625383,3483.1393937038656,-187500.02235174447,14107.750547856158
74509.27192083263,51553.62803383208,17172.73350629014,14825.040379171418,-17542.52076655874,-7904.649723130432,18031.53223175195,33143.03256786258,-187500.02235174447,-4733.272461089189,12016.007246495157,-11774.071964510915,-8061.313100017679,4307.5164327045,-187500.02235174447,11510.701359594032
80090.32369736716,56656.33012727858,17141.73163673063,14422.060778386687,-18053.90632795171,-7912.964572067806,19010.963322039046,32385.442541294404,-187500.02235174447,-5799.204802418328,11248.515397133278,-11829.906622160272,-8494.646369772718,3423.5272912415617,-187500.02235174447,14335.872451767023
72078.65382178471,48619.514539183925,16381.14647640544,15218.721654262741,-17463.79792258715,-7106.178355953498,16842.687647663075,32373.21613707735,-187500.02235174447,-4808.955467814859,11812.00287485157,-12226.918307175436,-8337.245385318445,4124.790921782365,-187500.02235174447,12227.454749042363
79598.31709841694,56728.280392680215,17681.705079281935,14300.869619950012,-17909.78227970389,-8506.313980378387,19332.44846253973,33170.34639958697,-187500.02235174447,-5256.482095299018,11708.000207901026,-11579.164752860637,-8141.131179467581,3929.68254443199,-187500.02235174447,12647.533434335404
